Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
17-Apr-25,Thursday,April,Q2,2025,EQ,2418.00,2448.60,2392.00,2415.60,2414.80,2418.10,2423.13,3743.90,2025.00,1054797.00,65818
16-Apr-25,Wednesday,April,Q2,2025,EQ,2400.00,2428.00,2382.90,2418.20,2414.10,2415.60,2405.12,3743.90,2025.00,889949.00,49754
15-Apr-25,Tuesday,April,Q2,2025,EQ,2375.00,2440.00,2359.00,2321.40,2415.90,2418.20,2410.05,3743.90,2025.00,1145125.00,64533
11-Apr-25,Friday,April,Q2,2025,EQ,2303.05,2343.50,2281.00,2236.90,2318.75,2321.40,2317.43,3743.90,2025.00,981463.00,61931
09-Apr-25,Wednesday,April,Q2,2025,EQ,2265.70,2279.55,2215.20,2285.70,2243.45,2236.90,2239.69,3743.90,2025.00,1001633.00,56281
08-Apr-25,Tuesday,April,Q2,2025,EQ,2270.00,2301.00,2225.00,2212.70,2288.95,2285.70,2273.41,3743.90,2025.00,1224362.00,61791
07-Apr-25,Monday,April,Q2,2025,EQ,2150.05,2239.00,2145.00,2334.65,2222.90,2212.70,2195.57,3743.90,2025.00,1567177.00,91075
04-Apr-25,Friday,April,Q2,2025,EQ,2394.95,2410.05,2315.50,2410.80,2336.30,2334.65,2344.17,3743.90,2025.00,1219733.00,68843
03-Apr-25,Thursday,April,Q2,2025,EQ,2339.75,2429.90,2339.70,2369.40,2414.00,2410.80,2403.94,3743.90,2025.00,1023200.00,59356
02-Apr-25,Wednesday,April,Q2,2025,EQ,2339.75,2378.85,2314.55,2335.25,2369.00,2369.40,2352.69,3743.90,2025.00,573928.00,44789
01-Apr-25,Tuesday,April,Q2,2025,EQ,2312.00,2358.95,2301.00,2315.80,2340.00,2335.25,2335.05,3743.90,2025.00,501942.00,38905
28-Mar-25,Friday,March,Q1,2025,EQ,2376.00,2386.95,2293.70,2363.35,2316.65,2315.80,2330.66,3743.90,2025.00,1838836.00,70667
27-Mar-25,Thursday,March,Q1,2025,EQ,2310.00,2373.90,2291.60,2312.60,2363.00,2363.35,2332.26,3743.90,2025.00,1696042.00,81185
26-Mar-25,Wednesday,March,Q1,2025,EQ,2324.90,2359.85,2308.05,2320.35,2314.00,2312.60,2332.77,3743.90,2025.00,1078870.00,58779
25-Mar-25,Tuesday,March,Q1,2025,EQ,2385.00,2387.65,2315.10,2368.70,2319.50,2320.35,2339.21,3743.90,2025.00,763065.00,46534
24-Mar-25,Monday,March,Q1,2025,EQ,2370.00,2395.00,2361.10,2362.80,2370.00,2368.70,2376.20,3743.90,2025.00,1010184.00,39593
21-Mar-25,Friday,March,Q1,2025,EQ,2343.80,2389.55,2338.00,2339.30,2365.00,2362.80,2365.79,3743.90,2025.00,1101418.00,55299
20-Mar-25,Thursday,March,Q1,2025,EQ,2348.00,2348.00,2299.00,2318.65,2338.05,2339.30,2330.01,3743.90,2025.00,2587051.00,55254
19-Mar-25,Wednesday,March,Q1,2025,EQ,2319.95,2342.00,2311.05,2308.50,2316.90,2318.65,2324.68,3743.90,2025.00,1030345.00,42002
18-Mar-25,Tuesday,March,Q1,2025,EQ,2274.00,2314.20,2259.75,2252.70,2304.55,2308.50,2291.19,3743.90,2025.00,878007.00,47968
17-Mar-25,Monday,March,Q1,2025,EQ,2200.00,2286.90,2198.00,2221.10,2251.00,2252.70,2255.72,3743.90,2025.00,927737.00,52613
13-Mar-25,Thursday,March,Q1,2025,EQ,2249.00,2273.00,2215.60,2241.80,2222.45,2221.10,2237.90,3743.90,2025.00,750310.00,52311
12-Mar-25,Wednesday,March,Q1,2025,EQ,2270.00,2280.00,2180.95,2250.60,2236.00,2241.80,2230.69,3743.90,2025.00,1049076.00,56794
